startphrase,ending1,ending2,labels,valid
My puppy has the energy of an all night rave,My puppy doesn't have a lot of energy,My puppy has a lot of energy,1,1
I found her to be as interesting as eating oatmeal,She was not interesting,She was very interesting,0,1
I found her to be as interesting as a naked lady in a basket weaving contest,She was not interesting,She was very interesting,1,1
Those peppers I ate were as hot as satan's toenails,The peppers were extremely hot,The peppers were not hot at all,0,1
Those peppers I ate were as hot as an old sock,The peppers were extremely hot,The peppers were not hot at all,1,1
The students thought the assignment was like reading a pop magazine,The assignment was enaging.,The assignment was dry.,0,1
The students thought the assignment was like reading a dictionary,The assignment was enaging.,The assignment was dry.,1,1
The student has a brain of a fruit fly,The student is dumb.,The student is smart.,0,1
The student has a brain of a sperm whale.,The student is dumb.,The student is smart.,1,1
The wife has the appearance of an evil witch.,The wife is ugly.,The wife is beautiful.,0,1
The wife has the appearance of a majestic queen.,The wife is ugly.,The wife is beautiful.,1,1
The mirror is a bed of rocks.,The mirror is bumpy.,The mirror is smooth.,0,1
The mirror is an ice rink.,The mirror is bumpy.,The mirror is smooth.,1,1
The truck has as much towing power as A rhinoceros,The truck is powerful,The truck is weak,0,1
The truck has as much towing power as A tricycle,The truck is powerful,The truck is weak,1,1
Camping in the woods is as much fun as traffic,Camping is stressful,Camping is relaxing,0,1
Camping in the woods is as much fun as Bubble wrap,Camping is stressful,Camping is relaxing,1,1
His head is as big as A planet,His head is large,His head is small,0,1
His head is as big as A push pin,His head is large,His head is small,1,1
He has the health of a race winning horse,His health is good,His health is poor,0,1
He has the health of a woolly mammoth,His health is good,His health is poor,1,1
The tree has the height of the Burj Khalifa,The tree is extremely tall,The tree is short,0,1
The tree has the height of a baby teacup poodle,The tree is extremely tall,The tree is short,1,1
The soda has the carbonation of a kid blowing into a cup with a straw,The soda has a lot of carbonation,The soda is flat,0,1
The soda has the carbonation of a crepe dinner,The soda has a lot of carbonation,The soda is flat,1,1
Her fingernails were brittle like stale bread,Her fingernails were brittle,Her fingernails were not brittle,0,1
Her fingernails were brittle like diamonds,Her fingernails were brittle,Her fingernails were not brittle,1,1
His soul was a black hole,His soul was evil,His soul was good,0,1
His soul was heavenly,His soul was evil,His soul was good,1,1
She was a suitcase ready to be opened.,She was extroverted.,She was introverted.,0,1
She was a locked treasure chest.,She was extroverted.,She was introverted.,1,1
The book's message is as meaningful as a family heirloom,The book's message has profound meaning.,The book's message has no meaning.,0,1
The book's message is as meaningful as junkyard finds,The book's message has profound meaning.,The book's message has no meaning.,1,1
He can run like a fugitive.,He can run really fast.,He cannot run really fast.,0,1
He can run like an eighty-year old man.,He can run really fast.,He cannot run really fast.,1,1
My phone buzzes like a bee,My phone is busy.,My phone is quiet.,0,1
My phone buzzes like a statue,My phone is busy.,My phone is quiet.,1,1
The stick had the brittleness of the bones of an 80 year old woman who never drank milk,The stick is very brittle,The stick is strong,0,1
The stick had the brittleness of the diamonds core of an exotic star,The stick is very brittle,The stick is strong,1,1
Her perfume lingered like a mangy dog,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,0,1
Her perfume lingered like a fairy,Her perfume lingered heavily and smelled bad.,Her perfume lingered lightly and smelled good.,1,1
That old machine is as useful as an udder on a bull,The machine is useless,The machine does a great job,0,1
That old machine is as useful as new machines,The machine is useless,The machine does a great job,1,1
He had the depth of a bathtub,He was shallow.,He was deep.,0,1
He had the depth of the sea,He was shallow.,He was deep.,1,1
The sky was a piece of onyx,The night sky was black.,The sky was white.,0,1
The sky was an opal,The night sky was black.,The sky was white.,1,1
The movie was as funny as a book of knock-knock jokes,The movie wasn't really funny.,The movie was hilarious.,0,1
The movie was as funny as a standup comedy show,The movie wasn't really funny.,The movie was hilarious.,1,1
The fence has the rust of an old nail,The fence is very rusty,The fence is not rusty,0,1
The fence has the rust of a diamond,The fence is very rusty,The fence is not rusty,1,1
She's as cultured as champagne.,She is very cultured.,She isn't cultured at all.,0,1
She's as cultured as a bud-light.,She is very cultured.,She isn't cultured at all.,1,1
Her tastes are more Ferrari than backyard junker.,Her tastes are extremely expensive.,Her tastes are cheap.,0,1
Her tastes are more backyard junker than Ferrari.,Her tastes are extremely expensive.,Her tastes are cheap.,1,1
The quarterback was throwing straight surface-to-air missiles.,He throws far,He can't throw very well,0,1
The quarterback was throwing straight duds,He throws far,He can't throw very well,1,1
His argument was like a shadow,his argument had no substance,his argument was felt,0,1
His argument was like a chiropractor,his argument had no substance,his argument was felt,1,1
The day was like a news clip,the day went by fast,the day was really long,0,1
The day was like the Pan-American Highway,the day went by fast,the day was really long,1,1
The meeting was as solemn as Sunday morning Mass.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,0,1
The meeting was as solemn as a college football game.,The meeting had a tone of seriousness.,The meeting had a tone of unseriousness.,1,1
The restaurant experience was like a stately dinner.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,0,1
The restaurant experience was like a dinner at grandma's on the weekend.,The restaurant experience was upper-class.,The restaurant experience was homely and down-to-earth.,1,1
The lawyer was as humble as Icarus.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,0,1
The lawyer was as humble as an ancient monk.,The lawyer was showy and greatly believed in himself beyond reason.,The lawyer was unassuming and had a gentle disposition.,1,1
The bike tires have the sturdiness of a vanilla wafer.,The bike tires are flimsy.,The bike tires are well built.,0,1
The bike tires have the sturdiness of Atlas.,The bike tires are flimsy.,The bike tires are well built.,1,1
The lake is a wave pool.,The lake is choppy.,The lake is calm.,0,1
The lake is a sheet of glass.,The lake is choppy.,The lake is calm.,1,1
The ocean is a sheet of ice.,The ocean is smooth.,The ocean is choppy.,0,1
The ocean is a bed of rocks.,The ocean is smooth.,The ocean is choppy.,1,1
The TV show has the depth of a toilet.,The TV show is shallow.,The TV show is cerebral.,0,1
The TV show has the depth of the dead sea.,The TV show is shallow.,The TV show is cerebral.,1,1
She was as flaky as wood shavings,She was extremely flaky.,She wasn't flaky at all.,0,1
She was as flaky as steel,She was extremely flaky.,She wasn't flaky at all.,1,1
The book is an complex as the night sky,The book is very complicated.,The book is easy to understand.,0,1
The book is an complex as a children's puzzle,The book is very complicated.,The book is easy to understand.,1,1
Driving in this fog was like moving in quicksand,the fog was thick,the fog was thin,0,1
Driving in this fog was like a photon travelling in empty space,the fog was thick,the fog was thin,1,1
"When she hustles, she looks like a transformer",she hustles cumbersomely,she hustles gracefully,0,1
"When she hustles, she looks like a gazelle",she hustles cumbersomely,she hustles gracefully,1,1
He's as transparent as a window.,He is easy to read.,He is not easy to read.,0,1
He's as transparent as a sandstorm.,He is easy to read.,He is not easy to read.,1,1
That movie was as long as a prison sentence.,The movie was really long.,The movie was really short.,0,1
That movie was as long as a fifty-yard dash.,The movie was really long.,The movie was really short.,1,1
The fog has the thickness of a heavy woman's thighs,The fog is thick,The fog is thin,0,1
The fog has the thickness of Christian Bale in The Machinist,The fog is thick,The fog is thin,1,1
The show has all the cancelations of The Simpsons,The show has never been canceled,The show has been canceled many times,0,1
The show has all the cancelations of Futurama,The show has never been canceled,The show has been canceled many times,1,1
Her emotional resilience was as sturdy as glass,She was not emotionally resilient at all.,She had a lot of emotional resilience.,0,1
Her emotional resilience was as sturdy as spider silk,She was not emotionally resilient at all.,She had a lot of emotional resilience.,1,1
Her poem is a business contract.,Her poem is boring.,Her poem is exciting.,0,1
Her poem is a literal manifesto.,Her poem is boring.,Her poem is exciting.,1,1
This computer moves like an obese person in an electric scooter,the computer is slow,the computer is very fast,0,1
This computer moves like a race car,the computer is slow,the computer is very fast,1,1
The mother has the kindness of Santa's wife,The mother is giving,The mother is mean,0,1
The mother has the kindness of a praying Mantis,The mother is giving,The mother is mean,1,1
The student has the insight of a librarian,The student is smart,The student is unwise,0,1
The student has the insight of a goose,The student is smart,The student is unwise,1,1
That thing is as valuable as Jeff Bezos's bank account.,The item is extremely valuable.,The item is not valuable at all.,0,1
That thing is as valuable as an empty beer can.,The item is extremely valuable.,The item is not valuable at all.,1,1
Her boss is a grizzly,Her boss is aggressive and mean,Her boss is docile,0,1
Her boss is a goldfish,Her boss is aggressive and mean,Her boss is docile,1,1
His position on the platform was like A jenga tower.,His position was not stable.,His position was firm.,0,1
His position on the platform was like A house with a stable platform.,His position was not stable.,His position was firm.,1,1
"The gorilla has the strength of a giant, mutant ant",The gorilla is strong,The gorilla is weak,0,1
"The gorilla has the strength of a sick, old man",The gorilla is strong,The gorilla is weak,1,1
His feet were as big as a basketball player's.,His feet were very big.,His feet were small.,0,1
His feet were as big as an adolescent child.,His feet were very big.,His feet were small.,1,1
The gift I received was as welcomed as blessing from God.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,0,1
The gift I received was as welcomed as curse from Satan.,The gift was well-received and deemed beneficial to the receiver.,The gift was not well-received or deemed beneficial to the receiver.,1,1
The man was as ambitious as an astrophysicist,The man set ambitious goals for himself.,The man lacked ambition.,0,1
The man was as ambitious as a custodian,The man set ambitious goals for himself.,The man lacked ambition.,1,1
The marriage is as good as a fresh out of the oven bagel,They have an awesome marriage,Their marriage is horrible,0,1
The marriage is as good as a month old banana,They have an awesome marriage,Their marriage is horrible,1,1
His mother's voice seemed a splinter,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,0,1
His mother's voice seemed a salve,His mother's voice was annoying/agitating.,His mother's voice was soothing/calming.,1,1
The book was as exciting as Noam Chomsky on qualudes,The book was boring,The book was gripping,0,1
The book was as exciting as winning the lottery the day you first got laid,The book was boring,The book was gripping,1,1
The preschool teacher was a grim reaper.,The preschool teacher was dour.,The preschool teacher was funny.,0,1
The preschool teacher was a clown.,The preschool teacher was dour.,The preschool teacher was funny.,1,1
The chemist was a lumberjack.,The chemist was sloppy.,The chemist was careful.,0,1
The chemist was an artist.,The chemist was sloppy.,The chemist was careful.,1,1
I could devour that book as if it was a slice of my favorite pizza,The book is interesting,The book is dull,0,1
I could devour that book as if it was a shoe sole,The book is interesting,The book is dull,1,1
This novel reads like poetry.,The book has beautiful language.,The book is really boring writing.,0,1
This novel reads like a shopping list.,The book has beautiful language.,The book is really boring writing.,1,1
That man has skin made of titanium.,That man isn't very sensitive.,That man is very sensitive.,0,1
That man has skin made of tissue paper.,That man isn't very sensitive.,That man is very sensitive.,1,1
That girl has the depth of a toilet,That girl is vain.,That girl is profound.,0,1
That girl has the depth of a diving pool.,That girl is vain.,That girl is profound.,1,1
The woman has the skin of a cat's tongue.,That woman has rough skin.,That woman has smooth skin.,0,1
The woman has the skin of mirror.,That woman has rough skin.,That woman has smooth skin.,1,1
The child's singing voice sounded like Madonna's,The child's singing voice was excellent.,The child's singing voice was poor.,0,1
The child's singing voice sounded like a scratchy violin,The child's singing voice was excellent.,The child's singing voice was poor.,1,1
He had as much money as a tent dweller,He had no money.,He had a lot of money.,0,1
He had as much money as a mansion dweller,He had no money.,He had a lot of money.,1,1
The group were as collaborative as a bunch of monkeys,they didnt work well together,they worked well together,0,1
The group were as collaborative as well oiled gears,they didnt work well together,they worked well together,1,1
The display was bright as the sun,it was really bright,it was really dull,0,1
The display was bright as a new moon,it was really bright,it was really dull,1,1
The novel was as deep as a kiddie pool,it had no meaning,it had meaning,0,1
The novel was as deep as the great sea,it had no meaning,it had meaning,1,1
She had the swimming ability of a mermaid,She was a good swimmer,She was a bad swimmer,0,1
She had the swimming ability of a boulder,She was a good swimmer,She was a bad swimmer,1,1
This game is as hard as doing 1000 push ups,The game is very hard,The game is very easy,0,1
This game is as hard as brushing my teeth,The game is very hard,The game is very easy,1,1
Her eyes were as sparkly as ocean water,Her eyes were pretty,they weren't very pretty,0,1
Her eyes were as sparkly as mud,Her eyes were pretty,they weren't very pretty,1,1
She has the reality bending power of Dr. Manhattan from Watchmen,She has great reality bending powers,She has no ability to bend reality,0,1
She has the reality bending power of Nite Owl from Watchmen,She has great reality bending powers,She has no ability to bend reality,1,1
The new Hollywood movie has the intensity of a rollercoaster.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,0,1
The new Hollywood movie has the intensity of an evening with grandma.,The new Hollywood movie is very intense.,The new Hollywood movie is dull.,1,1
Hollywood has the depth of a puddle.,Hollywood is shallow.,Hollywood is profound.,0,1
Hollywood has the depth of a skyscraper.,Hollywood is shallow.,Hollywood is profound.,1,1
The man has a height of a mouse.,The man is very short.,The man is tall.,0,1
The man has a height of a skyscraper.,The man is very short.,The man is tall.,1,1
The mother was as controlling as a Navy captain,The mother was a very controlling person.,The mother had a very loose parenting style.,0,1
The mother was as controlling as a babysitter yakking on her cell phone,The mother was a very controlling person.,The mother had a very loose parenting style.,1,1
He's as free as a released prisoner.,He's very free.,He's not free at all.,0,1
He's as free as a death-row inmate.,He's very free.,He's not free at all.,1,1
Hollywood is as genuine as Silk,Hollywood is the real deal.,Hollywood is fake.,0,1
Hollywood is as genuine as Rayon,Hollywood is the real deal.,Hollywood is fake.,1,1
Jake was floating on the lake like Dandelion seeds floating in the air.,Jake was floating like he was weightless.,Jake was too heavy to float.,0,1
Jake was floating on the lake like Concrete shoes,Jake was floating like he was weightless.,Jake was too heavy to float.,1,1
Life is as easy as Kindergarten for a high school senior.,Life is basic.,Life is beyond comprehension.,0,1
Life is as easy as Kindergarten for a newborn.,Life is basic.,Life is beyond comprehension.,1,1
She was as sweet as the days are long,She is very sweet,She isn't sweet at all,0,1
She was as sweet as vinegar,She is very sweet,She isn't sweet at all,1,1
He's as deep as a puddle,He doesn't have a lot of insight,He has a great deal of insight,0,1
He's as deep as the sea,He doesn't have a lot of insight,He has a great deal of insight,1,1
My aunt has a heart of gold,"My aunt is very generous, loving","My aunt is very cold, stoic",0,1
My aunt has a heart of steel,"My aunt is very generous, loving","My aunt is very cold, stoic",1,1
The mean girl has the depth of a kiddie pool.,The mean girl is superficial.,The mean girl is deep.,0,1
The mean girl has the depth of the sea.,The mean girl is superficial.,The mean girl is deep.,1,1
The actor is a yeti.,The actor is hairy.,The actor is hairless.,0,1
The actor is a baby's bottom.,The actor is hairy.,The actor is hairless.,1,1
The girl was as short as the Eiffel Tower,The girl was tall.,The girl was very short.,0,1
The girl was as short as a second,The girl was tall.,The girl was very short.,1,1
The man's heart was as big as the sea,The man had endless love.,The man was stingy about his love.,0,1
The man's heart was as big as a pea,The man had endless love.,The man was stingy about his love.,1,1
The boy's voice was as loud as a ship's whistle,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,0,1
The boy's voice was as loud as a fish,The boy's voice was obnoxiously loud.,The boy's voice couldn't be heard.,1,1
They left town like a jet,They left town quickly.,They left town slowly.,0,1
They left town like a herd of turtles,They left town quickly.,They left town slowly.,1,1
It had the consistency of water,It was liquid.,It was solid.,0,1
It had the consistency of concrete,It was liquid.,It was solid.,1,1
Living in a city is like Living with metal trees.,Is not natural or close to nature.,City life is easy and comfortable.,0,1
Living in a city is like a walk along the lake shore.,Is not natural or close to nature.,City life is easy and comfortable.,1,1
Life is like skydiving,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,0,1
Life is like cycling.,you would find fear followed by excitement and happiness if we navigate through life properly.,need to have the right balance.,1,1
Your career is like a flowing river.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,0,1
Your career is like a roller coaster ride.,It's a journey with lots of obstacles that you need to overcome to reach your  goals.,Down falls in career would follow with quick rise ups with hard work.,1,1
He ate like a horse,He ate a lot,He barely ate at all,0,1
He ate like a bird,He ate a lot,He barely ate at all,1,1
The groups are as separate as Berlin during the Cold War.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,0,1
The groups are as separate as strands of yarn.,The groups are apart from each other.,The groups are different from each other but together enough to add strength to each other.,1,1
When you are in a slump focus on first base,just do the first part of your goal,stop and look at life.,0,1
When you are in a slump focus on the roses,just do the first part of your goal,stop and look at life.,1,1
The girl's engagement ring sparkled like New Year's Eve confetti,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,0,1
The girl's engagement ring sparkled like a block of lead,The girl's engagement ring was very shiny.,The girl's engagement ring was really dull.,1,1
He's as fun as a party,He's fun,He's boring,0,1
He's as fun as watching paint dry,He's fun,He's boring,1,1
He has eyes like a hawk,He sees well,He can't see well,0,1
He has eyes like a bat,He sees well,He can't see well,1,1
He's as lenient as a prison guard.,He's not lenient at all.,He's very lenient.,0,1
He's as lenient as a dad trying to win his kids' love.,He's not lenient at all.,He's very lenient.,1,1
He keeps time like a stopwatch.,He keeps time really well.,He doesn't keep time that well.,0,1
He keeps time like a three-year old on sugar.,He keeps time really well.,He doesn't keep time that well.,1,1
The country has all the enemies of a wounded seal in shark infested waters,The country has many enemies,The country has few enemies,0,1
The country has all the enemies of Mister Rogers,The country has many enemies,The country has few enemies,1,1
That dog has the fur of a naked mole rat.,The dog is bald.,The dog is fluffy.,0,1
That dog has the fur of a lion's mane.,The dog is bald.,The dog is fluffy.,1,1
The baby is as loud as a whisper.,The baby is quiet.,The baby makes a lot of noise.,0,1
The baby is as loud as a foghorn.,The baby is quiet.,The baby makes a lot of noise.,1,1
Honesty is a down comforter for one's conscience.,Honesty creates a clear conscience.,Honesty restricts ambition.,0,1
Honesty is a burden on one's ambitions.,Honesty creates a clear conscience.,Honesty restricts ambition.,1,1
The car had the speed of Zeus chasing a pretty young maiden.,Fast like a god hitting on a girl,The car had to be going slow.,0,1
The car had the speed of a street sign in a school zone.,Fast like a god hitting on a girl,The car had to be going slow.,1,1
The child worked as hard as a premed student,The child put forth his best effort.,The child was lazy.,0,1
The child worked as hard as a high school dropout,The child put forth his best effort.,The child was lazy.,1,1
He roared like a lion,He roared loudly,He roared softly,0,1
He roared like a kitten,He roared loudly,He roared softly,1,1
The defenses are as thick as steel,The defenses are strong,The defenses are weak,0,1
The defenses are as thick as air,The defenses are strong,The defenses are weak,1,1
The comedian was as funny as a clown,The comedian was funny,The comedian was not funny,0,1
The comedian was as funny as a corpse,The comedian was funny,The comedian was not funny,1,1
That city was the heartbeat of California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,0,1
That city was a blister on California.,The city had the pure essence of California.,The city did not represent California and actually it made it worse.,1,1
The writer's work is as inspired as a morning sunrise,The writer's work is totally refreshing.,The writer's work is bland.,0,1
The writer's work is as inspired as a peanut butter sandwich,The writer's work is totally refreshing.,The writer's work is bland.,1,1
The movie has the depth of a cookie sheet filled with melted red Jello,The movie is boring,The movie is profound,0,1
The movie has the depth of the deepest most mysterious part of the Marianna Trench in the darkest black ocean,The movie is boring,The movie is profound,1,1
The room is as crowded as the beach in the summer,The room is packed.,The room is empty.,0,1
The room is as crowded as the Arctic,The room is packed.,The room is empty.,1,1
The kitchen counter looked like a toddler cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,0,1
The kitchen counter looked like an Army general cleaned it,The kitchen counter was messy.,The kitchen counter was pristinely clean.,1,1
He punches like a gorilla,his punches are heavy,his punches are light,0,1
He punches like a mosquito,his punches are heavy,his punches are light,1,1
The horse had the power of a Ferrari.,The horse is very strong.,The horse is weak.,0,1
The horse had the power of a bicycle.,The horse is very strong.,The horse is weak.,1,1
The judge had the intelligence of a cricket.,The judge is not smart.,The judge is smart.,0,1
The judge had the intelligence of a surgeon.,The judge is not smart.,The judge is smart.,1,1
That wave was as big as everest.,The wave was very big.,The wave wasn't big at all.,0,1
That wave was as big as a pebble.,The wave was very big.,The wave wasn't big at all.,1,1
She could eat like a a starved bear.,She ate very ravenously.,She barely ate..,0,1
She could eat like a an ant.,She ate very ravenously.,She barely ate..,1,1
The high school athlete has the speed of a jaguar,The high school athlete is fast.,The high school athlete is slow.,0,1
The high school athlete has the speed of a banana slug,The high school athlete is fast.,The high school athlete is slow.,1,1
The professor is as engaging as Bill Cosby,The professor is very engaging.,The professor is very dry.,0,1
The professor is as engaging as a dictionary,The professor is very engaging.,The professor is very dry.,1,1
Jim is a rusty toolbox.,Jim is useless.,Jim is useful.,0,1
Jim is a cabinet full of tools.,Jim is useless.,Jim is useful.,1,1
His eyes move like a hummingbird's wings,His eyes move rapidly,His eyes move slowly,0,1
His eyes move like a giant sloth,His eyes move rapidly,His eyes move slowly,1,1
The table is a bed of rocks.,The table is bumpy.,The table is smooth.,0,1
The table is a sheet of glass.,The table is bumpy.,The table is smooth.,1,1
This is about as legal as the supreme court.,It's very legal.,It's very illegal.,0,1
This is about as legal as a bank robbery.,It's very legal.,It's very illegal.,1,1
This is as fun as a bowl of nachos.,It's very fun.,It's not fun at all.,0,1
This is as fun as stubbing your toe.,It's very fun.,It's not fun at all.,1,1
His eyes have the sharpness of an eagle with binoculars,His eyes are very good,His eyesight is poor,0,1
His eyes have the sharpness of a bat with broken glasses,His eyes are very good,His eyesight is poor,1,1
He's smart as a whip,He's very smart,He's not smart at all,0,1
He's smart as a brick,He's very smart,He's not smart at all,1,1
The stars shined as bright as the sun,The stars were very bright,The stars were dull,0,1
The stars shined as bright as wood,The stars were very bright,The stars were dull,1,1
The actor was as famous as Jesus Christ.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,0,1
The actor was as famous as the local mailman.,The actor was known widely and had the same following/influence as a religious figure.,The actor was known only by a few people and only had a very small amount of influence.,1,1
The shopping list was as detailed as the Constitution.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,0,1
The shopping list was as detailed as a toddler's letter to Santa.,The shopping list was orderly written with specific details.,The shopping list was unorganized and thrown together with not much attention to detail.,1,1
The homework assignment was as difficult as an end-of-the-year project.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,0,1
The homework assignment was as difficult as reciting the ABCs.,The homework assignment was very difficult and required a lot of effort and a lot of time.,The homework assignment was very easy and required very little effort and time.,1,1
She is a porcelain plate.,She is delicate.,She is tough.,0,1
She is a pizza pan.,She is delicate.,She is tough.,1,1
The man's ego was the size of a pea,The man's ego was tiny.,The man had a big ego.,0,1
The man's ego was the size of a boulder,The man's ego was tiny.,The man had a big ego.,1,1
The blanket was as soft as a marshmallow,The blanket was super soft.,The blanket was not soft at all.,0,1
The blanket was as soft as a crocodile's armor,The blanket was super soft.,The blanket was not soft at all.,1,1
The football player a hurricane,The football player is destructive.,The football player is resistant.,0,1
The football player a brick.,The football player is destructive.,The football player is resistant.,1,1
The hole goes all the way down to the center of the earth,the hole is deep,the hole is shallow,0,1
The hole goes all the way down to the tops of my shoes,the hole is deep,the hole is shallow,1,1
The politician has the transparency of a pane of glass,The politician is very transparent,The politician is not transparent,0,1
The politician has the transparency of a metal door,The politician is very transparent,The politician is not transparent,1,1
The letter had the depth of a tide pool.,The letter was superficial.,The letter was profound.,0,1
The letter had the depth of the bottom of the sea.,The letter was superficial.,The letter was profound.,1,1
The professor had the depth of a bath tub.,The professor was boring.,The professor was profound.,0,1
The professor had the depth of the Mariana Trench.,The professor was boring.,The professor was profound.,1,1
He sang like he'd just been divorced.,He was very emotional while singing.,He was not emotional at all.,0,1
He sang like a robot in need of an update.,He was very emotional while singing.,He was not emotional at all.,1,1
The sunset had the hue of a bowl of fresh picked oranges,The sunset was very orange,The sunset was hardly orange at all,0,1
"The sunset had the hue of a bowl of rotten, six week old oranges",The sunset was very orange,The sunset was hardly orange at all,1,1
My friend's arrival was a swift as a turtle,My friend was slow to arrive,My friend arrived quickly,0,1
My friend's arrival was a swift as a formula 1 race car,My friend was slow to arrive,My friend arrived quickly,1,1
Their arrival was like a cool hand on a feverish forehead.,Their arrival was soothing and welcome.,Their arrival was boring.,0,1
Their arrival was like a kernel stuck in your teeth.,Their arrival was soothing and welcome.,Their arrival was boring.,1,1
The rustling was as loud as a power lawn mower,The rustling was obnoxiously loud.,The rustling was very quiet.,0,1
The rustling was as loud as a library,The rustling was obnoxiously loud.,The rustling was very quiet.,1,1
"When Billy danced, it was poetry on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,0,1
"When Billy danced, it was an oil spill on the dance floor.",Billy was a graceful dancer.,Billy was not a graceful dancer.,1,1
The man's room looked like a junkyard,The man's room was a mess.,The man's room was well organized.,0,1
The man's room looked like a classroom on the first day of school,The man's room was a mess.,The man's room was well organized.,1,1
The football fans at the beginning of the season were as hopeful as people on New Year's Day.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,0,1
The football fans at the beginning of the season were as hopeful as one of the characters stuck in Dante's inferno.,The football fans believed that football season would filled with good things and had hope for a successful season.,The football fans believed that the football season would be miserable and thus did not have much hope about the success of the season.,1,1
The priest had the disposition of a dictator.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",0,1
The priest had the disposition of Christ himself.,The priest was authoritarian and sought to get his way above all else.,"The priest was gentle, loving, and humble.",1,1
The TV show was as easy to understand as one of Hegel's philosophy books.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,0,1
The TV show was as easy to understand as Dr. Seuss tale.,The TV show was very complicated and difficult to parse through for understanding.,The TV show was simple enough for anyone to understand.,1,1
The movie's excitement level was like that of Watching paint dry,The movie is boring,The movie is exciting,0,1
The movie's excitement level was like that of A three-ring circus,The movie is boring,The movie is exciting,1,1
The book had the clarity of glass,The book was clear and easy to understand,The book was confusing and hard to understand,0,1
The book had the clarity of mud,The book was clear and easy to understand,The book was confusing and hard to understand,1,1
The phone had all the charge of a nuclear power plant before a meltdown,The phone has a lot of charge,The phone has no charge,0,1
The phone had all the charge of a Sega Game Gear left in the attic for 25 years,The phone has a lot of charge,The phone has no charge,1,1
This book has the originality of a copy machine,This book is predictable and overdone,This book has nothing like it,0,1
This book has the originality of a snowflake,This book is predictable and overdone,This book has nothing like it,1,1
That flower has the beauty of a peacock sitting in a weeping willow under a rainbow,The flower is beautiful and rare,That flower is disgusting,0,1
That flower has the beauty of the bottom of an empty dumpster,The flower is beautiful and rare,That flower is disgusting,1,1
It was as challenging as Mt. Everest,It was difficult.,It was easy.,0,1
It was as challenging as tying one's shoes,It was difficult.,It was easy.,1,1
The movie has the speed of a dead chicken.,The movie is slow.,The movie is fast-paced.,0,1
The movie has the speed of a Lamborghini.,The movie is slow.,The movie is fast-paced.,1,1
The girl's smile was as bright as a Christmas ornament,The girl's smile was exuberant.,The girl didn't smile very brightly.,0,1
The girl's smile was as bright as a piece of slate,The girl's smile was exuberant.,The girl didn't smile very brightly.,1,1
The car is a pile of dog poop.,The car is trash.,The car is wonderful.,0,1
The car is a treasure chest.,The car is trash.,The car is wonderful.,1,1
The cat is a  wooly mammoth.,The cat is hairy.,The cat is bald.,0,1
The cat is a naked mole rat.,The cat is hairy.,The cat is bald.,1,1
Mornings spent here are nightmares comes to life.,The mornings there are awful.,The mornings there are wonderful.,0,1
Mornings spent here are dreams come true.,The mornings there are awful.,The mornings there are wonderful.,1,1
Toddlers are angels in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,0,1
Toddlers are devils in human form.,Toddlers are innocent and sweet.,Toddlers are unpleasant and evil.,1,1
That man had all the charm of skunk spray.,He was not charming at all.,He was very charming.,0,1
That man had all the charm of a chocolate strawberry.,He was not charming at all.,He was very charming.,1,1
The cat is as small as a hippopotamus.,The cat is very large.,The cat is tiny.,0,1
The cat is as small as an ant.,The cat is very large.,The cat is tiny.,1,1
The field is as green as a school bus.,The field is yellow and dying.,The field is bright green.,0,1
The field is as green as a tree frog.,The field is yellow and dying.,The field is bright green.,1,1
The car was a cheetah,The car was fast,The car was slow,0,1
The car was a slug,The car was fast,The car was slow,1,1
The meaning of life is quantum theory.,The meaning of life is complicated,The meaning of life is simple,0,1
"The meaning of life is duck, duck, goose",The meaning of life is complicated,The meaning of life is simple,1,1
He smelled like success,He smelled good.,He smelled bad.,0,1
